label,value,date,type,id
Boleto conta luz,235.89,2024-01-17,0,1
Boleto conta água,137.55,2024-01-20,0,2
Pix Cliente X,2500.00,2024-01-22,1,3
Depósito em dinheiro,500.00,2023-05-10,0,7
Pix para amigo,50.00,2023-09-12,1,11
Dividendos recebidos,300.00,2023-10-19,0,12
Salário,4500.00,2024-02-01,0,15
Transferência bancária enviada,500.00,2024-02-08,1,16
Transferência bancária recebida,1000.00,2023-02-14,1,4
Reembolso viagem,1500.00,2023-08-05,1,10
Pagamento Uber,23.80,2023-07-22,0,9
Compra supermercado,254.78,2023-06-15,0,8
Saque caixa eletrônico,200.00,2023-04-01,0,6
Pagamento Netflix,39.90,2023-03-08,0,5
Compra online,128.99,2023-12-03,0,14
Pagamento conta luz,150.00,2023-11-26,0,13
Pix recebido,100.00,2024-02-15,1,17
Pagamento plano celular,129.90,2024-02-22,0,18
Compra gasolina,100.00,2024-03-01,0,19
Refeição restaurante,50.00,2024-03-07,0,20
Transferência bancária recebida,2000.00,2024-03-14,1,21
Pagamento academia,89.90,2024-03-21,0,22
Saque caixa eletrônico,300.00,2024-03-28,0,23
Depósito em dinheiro,1000.00,2024-04-04,1,24
Compra supermercado,300.00,2024-04-11,0,25
